iteration,accuracy,precision,recall,f1,roc_auc,timestamp,strategy_type,split_type,initial_size,batch_size,iterations,iteration_id
31,0.9236031927023945,0.9284388386482627,0.9218530321492173,0.923084777045468,0.9823580258485123,20250730_162204,uncertainty,sequential,100,50,40,31
32,0.9156214367160775,0.918965190273505,0.9141437810478958,0.9151553659021263,0.9815196675727185,20250730_162204,uncertainty,sequential,100,50,40,32
33,0.9224629418472063,0.927496084158835,0.9206709990522907,0.9219219691018592,0.9834567438372855,20250730_162204,uncertainty,sequential,100,50,40,33
34,0.9110604332953249,0.9198951198630136,0.9086085335499526,0.9101349434057445,0.9838316618239759,20250730_162204,uncertainty,sequential,100,50,40,34
35,0.9144811858608894,0.9209901021677422,0.9123967673738036,0.9137636041110276,0.9863154934857999,20250730_162204,uncertainty,sequential,100,50,40,35
36,0.9201824401368301,0.9260848806366048,0.9182262213474136,0.9195623689727463,0.9826496287270493,20250730_162204,uncertainty,sequential,100,50,40,36
37,0.9179019384264538,0.9224321095971502,0.9161850011976547,0.9173603040487484,0.9842820841274305,20250730_162204,uncertainty,sequential,100,50,40,37
38,0.9327251995438997,0.9364788227605254,0.9312285854136074,0.9323420152123572,0.9865732496016496,20250730_162204,uncertainty,sequential,100,50,40,38
39,0.9179019384264538,0.923297411281008,0.9160235781756074,0.9172970934009514,0.982665250309828,20250730_162204,uncertainty,sequential,100,50,40,39
40,0.9122006841505131,0.9172694059091391,0.9103555472240448,0.9115710931535658,0.982501223690651,20250730_162204,uncertainty,sequential,100,50,40,40
1,0.8836944127708096,0.8888647214854111,0.8816925464221368,0.8827908805031447,0.9576446818925026,20250730_162204,entropy,sequential,100,50,40,1
